Replication,Wq (Avg Wait Time),W (Avg System Time),Lq (Avg Queue Length),L (Avg System Length)
1,7.782066507512664,8.718262218655003,7.782066507512664,8.718262218655003
2,7.5482309705389365,8.38745141847393,7.5482309705389365,8.38745141847393
3,3.9017340449416507,4.724376201506536,3.9017340449416507,4.724376201506536
4,3.2599651357464774,4.124806361331812,3.2599651357464774,4.124806361331812
5,3.3325481785732554,4.151627298979218,3.3325481785732554,4.151627298979218
6,4.754603942745977,5.594479866780443,4.754603942745977,5.594479866780443
7,3.0858956472612356,3.957148335125154,3.0858956472612356,3.957148335125154
8,2.130476247795372,2.9246360045881965,2.130476247795372,2.9246360045881965
9,3.4056306918973616,4.269640575323186,3.4056306918973616,4.269640575323186
10,4.117405961371327,4.959869385658047,4.117405961371327,4.959869385658047
11,5.8196691073296405,6.702160262785581,5.8196691073296405,6.702160262785581
12,2.164816286140441,2.9766788144017764,2.164816286140441,2.9766788144017764
13,3.7876247405434533,4.659898126597864,3.7876247405434533,4.659898126597864
14,3.167894394113914,4.042165893967735,3.167894394113914,4.042165893967735
15,2.1219883291429817,2.929068598481831,2.1219883291429817,2.929068598481831
16,1.8992893748946722,2.6925963368821844,1.8992893748946722,2.6925963368821844
17,4.8534948361218255,5.729155276718608,4.8534948361218255,5.729155276718608
18,4.335928611861769,5.214157230085992,4.335928611861769,5.214157230085992
19,2.12929826578677,2.9544407349183337,2.12929826578677,2.9544407349183337
20,2.678971735517857,3.4978627633573174,2.678971735517857,3.4978627633573174
21,6.507263152498761,7.428668992906948,6.507263152498761,7.428668992906948
22,3.1960427744795403,3.9966585613076075,3.1960427744795403,3.9966585613076075
23,2.792246503854151,3.61086179923248,2.792246503854151,3.61086179923248
24,2.749637820493009,3.573137688102347,2.749637820493009,3.573137688102347
25,3.1069300266285222,3.91738679536634,3.1069300266285222,3.91738679536634
26,3.153747699992405,3.9966561464271506,3.153747699992405,3.9966561464271506
27,2.7610553944030802,3.5748367148169953,2.7610553944030802,3.5748367148169953
28,7.266122980118049,8.108110419637391,7.266122980118049,8.108110419637391
29,4.52374405251671,5.339110434544015,4.52374405251671,5.339110434544015
30,5.023362326311814,5.86025272003617,5.023362326311814,5.86025272003617
